                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.059,                0.97919,                 1.2042,                0.65527,                0.57651,                0.59748,                0.37549,                 1.0086,                 1.0203,                 1.2078,               0.003327,               0.003327,               0.003327
                      2,                 1.2196,                 1.1937,                 1.2934,                0.58485,                0.53914,                0.51254,                0.29785,                 1.1993,                 1.2927,                 1.3633,              0.0066597,              0.0066597,              0.0066597
                      3,                 1.4341,                 1.5625,                 1.4259,                0.38607,                 0.3524,                0.33607,                0.17127,                 1.6398,                 2.0786,                 1.7431,              0.0099917,              0.0099917,              0.0099917
                      4,                 1.6086,                 1.8698,                 1.5712,                0.62371,                0.42537,                0.43059,                0.22352,                 1.5778,                 1.9605,                 1.6725,               0.009997,               0.009997,               0.009997
                      5,                 1.5489,                 1.7412,                 1.5452,                0.49921,                0.40104,                 0.4239,                0.22221,                  1.564,                 1.6791,                 1.6873,               0.009997,               0.009997,               0.009997
                      6,                 1.4934,                 1.6164,                 1.5066,                0.55387,                0.48996,                0.50887,                0.28565,                 1.3879,                 1.5766,                 1.5194,               0.009996,               0.009996,               0.009996
                      7,                 1.4248,                 1.4894,                 1.4653,                0.61346,                0.51924,                0.52921,                0.30889,                 1.3375,                  1.437,                  1.513,              0.0099951,              0.0099951,              0.0099951
                      8,                 1.3807,                  1.389,                 1.4315,                0.64314,                0.54961,                0.57066,                0.33876,                 1.2757,                 1.2981,                 1.4698,              0.0099941,              0.0099941,              0.0099941
                      9,                  1.341,                 1.3019,                 1.4034,                0.68887,                0.58025,                0.61479,                0.34979,                 1.2669,                 1.2415,                 1.4627,              0.0099931,              0.0099931,              0.0099931
                     10,                  1.291,                 1.2351,                 1.3771,                0.72273,                0.54109,                0.59911,                0.34374,                 1.2883,                 1.2065,                 1.4439,              0.0099921,              0.0099921,              0.0099921
                     11,                 1.2598,                  1.187,                 1.3658,                0.72163,                0.56467,                0.63227,                0.36768,                 1.2068,                 1.0946,                 1.4142,              0.0099911,              0.0099911,              0.0099911
